DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
1/12/2021,468,478.5,463.7,475.35,2028162,41929
30-11-2021,465.55,478,455.8,458.8,1287893,21020
29-11-2021,454.2,470.35,442.9,461.25,4104330,84997
26-11-2021,485.05,486.95,458,460.25,4111286,134332
25-11-2021,491.1,495,486.35,492.75,1112012,27386
24-11-2021,499.65,502,485.8,488.7,847176,15664
23-11-2021,485,499.2,476.8,495.4,1911753,42354
22-11-2021,511.2,512.15,478.5,486.15,3027500,90270
18-11-2021,532,534.35,501.35,509.9,3714327,73084
17-11-2021,521.7,536.5,520.05,530.3,2141051,30392
16-11-2021,507.2,526.85,506.7,518.8,2415265,31346
15-11-2021,507,514.75,504.3,505.35,746386,12783
12/11/2021,507,509.8,497.5,507,816526,14047
11/11/2021,511.3,519,501.05,503.25,1816299,38204
10/11/2021,507.75,515.9,500.05,510.8,1864729,41190
9/11/2021,503.2,520.5,503.2,509.75,3932791,71930
8/11/2021,493.9,504.9,490.45,501.45,1270353,20782
4/11/2021,490.5,493.65,488.35,489.65,527021,23182
3/11/2021,484.9,495.05,482,485.05,1012119,15492
2/11/2021,505.15,509.95,486.45,487.8,2144313,29335
1/11/2021,486.9,489.7,470,485.7,2345670,47295
29-10-2021,482,491.25,468.05,483.75,1305040,24860
28-10-2021,495,495,478.6,480.95,1011294,22604
27-10-2021,507.95,507.95,495.9,497.65,1084453,19136
26-10-2021,480.1,510,480.1,508.6,2199229,38749
25-10-2021,494.7,494.9,473.4,479.75,1301053,25350
22-10-2021,510,510.8,487.5,490.9,2078824,33657
21-10-2021,499,510,485.65,508,4134357,79183
20-10-2021,481.15,497,471,487.05,6543389,104230
19-10-2021,514.5,517.4,476.05,482.1,2537100,43687
18-10-2021,507.8,524.9,503.5,509.6,3364254,55292
14-10-2021,532.4,532.4,491.95,497.45,5322376,76050
13-10-2021,462.85,519.95,462.85,506.75,8905315,115492
12/10/2021,424.7,435.65,413.7,420.8,4962130,55670
11/10/2021,390.25,420.75,387.85,415.65,10196646,124342
8/10/2021,387,398,380,382.95,4488906,45269
7/10/2021,341.4,380.55,339.95,376.4,7446833,64302
6/10/2021,347.8,348.75,334.9,336,2265775,39029
5/10/2021,342,351.4,339.25,345.05,1664700,18929
4/10/2021,337.4,343.25,335.05,341.9,3235536,48421
1/10/2021,333,337.2,325.8,333.35,1353956,14417
30-09-2021,331,337.85,329.15,333.2,2600457,33791
29-09-2021,325.5,332.9,324,330.35,926283,10155
28-09-2021,333.75,336,324.7,329.25,1480762,16999
27-09-2021,322.3,333.5,322.3,331.55,5061814,82712
24-09-2021,324.8,327,316,317.95,2761697,39967
23-09-2021,312.5,324,312.5,321.55,4110399,23930
22-09-2021,303.05,313.7,303.05,310.05,1115096,11555
